ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jan/09,1.5,8.7
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Feb/09,0.9,9.2
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Mar/09,0.4,9.6
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Apr/09,0.5,9.6
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,May/09,1.2,8.9
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jun/09,1.2,8.9
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jul/09,1.7,8.5
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Aug/09,0.6,9.5
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Sep/09,0.6,9.5
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Oct/09,0.9,9.2
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Nov/09,1.0,9.1
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Dec/09,0.6,9.5
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jan/10,1.4,8.7
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Feb/10,1.1,9.0
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Mar/10,3.4,6.9
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Apr/10,2.5,7.8
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,May/10,2.5,7.8
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jun/10,4.1,6.3
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jul/10,5.4,5.1
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Aug/10,6.3,4.3
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Sep/10,2.6,7.7
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Oct/10,1.8,8.4
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Nov/10,1.4,8.7
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Dec/10,0.6,9.5
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Jan/11,2.7,7.6
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Feb/11,1.6,8.6
1,TEVREDENHEID,Meldingen burgers - Totaal,Almere,Aantal/maand/10000 inwoners,0,5,10,Mar/11,1.3,8.8
