ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Apr/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,May/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jun/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jul/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Aug/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Sep/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Oct/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Nov/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Dec/09,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Apr/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,May/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jun/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jul/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Aug/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Sep/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Oct/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Nov/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Dec/10,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/11,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/11,NULL,NULL
19,TOESTAND,Peiloverschrijding DWA gemalen,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/11,NULL,NULL
